initial state: ##....#.#.#...#.#..#.#####.#.#.##.#.#.#######...#.##....#..##....#.#..##.####.#..........#..#...#

..#.# => #
.#### => #
#.... => .
####. => #
...## => .
.#.#. => .
..#.. => .
##.#. => .
#.#.# => #
..... => .
#.#.. => .
....# => .
.#..# => .
###.# => #
#..#. => .
##### => .
...#. => #
#.##. => #
.#.## => #
#..## => #
.##.. => #
##.## => .
..### => .
###.. => .
##..# => #
.#... => #
.###. => #
#.### => .
.##.# => .
#...# => #
##... => .
..##. => .
