Found: 40, 30 left
Found: 53, 29 left
Found: 67, 28 left
Found: 80, 27 left
Found: 95, 26 left
Found: 109, 25 left
Found: 123, 24 left
Found: 137, 23 left
Found: 148, 22 left
Found: 162, 21 left
Found: 175, 20 left
Found: 189, 19 left
Found: 196, 18 left
Found: 204, 17 left
Found: 208, 16 left
Found: 219, 15 left
Found: 227, 14 left
Found: 232, 13 left
Found: 240, 12 left
Found: 254, 11 left
Found: 262, 10 left
Found: 270, 9 left
Found: 278, 8 left
Found: 292, 7 left
Found: 305, 6 left
Found: 319, 5 left
Found: 333, 4 left
Found: 346, 3 left
Found: 357, 2 left
Found: 371, 1 left
Found: 385, 0 left
385
10707
